account_id,opportunity_name,close_date,stage,amount,lead_source,description,probability,created_date,owner_name,account_name,duns_number
32,sed tincidunt eu felis fusce posuere felis sed lacus morbi,6/24/2022,Closed Won,Peso,Referral,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",32.91,2022-02-21T12:25:34Z,Melisande Guilloton,Centimia,92-221-5967
33,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor,12/29/2022,Closed Lost,Baht,Web,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",63.65,2022-03-17T12:50:06Z,Elizabet Flooks,Kaymbo,16-294-6733
34,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede,6/6/2022,Closed Lost,Euro,Purchased List,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",98.78,2022-11-17T02:30:17Z,Cleopatra Morena,Plajo,47-730-6528
35,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,12/1/2022,Closed Lost,Yuan Renminbi,Referral,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",19.97,2022-12-07T17:47:05Z,Codie Emanueli,Skyndu,21-259-7339
36,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,1/8/2022,Closed Won,Rupiah,Purchased List,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",58.17,2022-02-16T16:13:08Z,Milli Cumberlidge,Skivee,83-477-0546
37,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,2/18/2022,Closed Lost,Ruble,Purchased List,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",3.19,2022-07-06T02:31:15Z,Lorry Shaw,Oloo,93-655-8210
38,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,11/28/2022,Closed Lost,Manat,Web,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",98.52,2022-06-12T05:45:18Z,Tobi Lowdham,Tekfly,06-863-3590
39,eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin,11/20/2022,Closed Lost,Euro,Referral,Sed ante. Vivamus tortor. Duis mattis egestas metus.,70.84,2022-06-10T09:11:54Z,Dugald Ruggs,Mita,87-645-0709
40,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,5/15/2022,Closed Won,Rupiah,Purchased List,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",82.05,2022-05-29T04:13:54Z,Dietrich Costelow,Tambee,48-879-3565
41,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,4/3/2022,Closed Lost,Rupiah,Web,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",72.62,2022-12-15T22:36:53Z,Farris Brockway,Dynazzy,30-943-8756
42,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,3/3/2022,Closed Lost,Rupiah,Web,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,10.51,2022-09-19T20:47:00Z,Roby Lampart,Vitz,55-880-4615
43,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,6/11/2022,Closed Lost,Krona,Referral,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",10.7,2022-02-22T07:48:52Z,Sharron Sever,Abatz,67-292-3770
44,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,9/13/2022,Closed Lost,Yuan Renminbi,Purchased List,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",85.53,2022-03-02T12:17:42Z,Arne Laycock,Camido,99-089-9487
45,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,7/7/2022,Closed Lost,Peso,Purchased List,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",36.22,2022-12-30T10:51:52Z,Robinett L'argent,Realcube,33-534-2100
46,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,6/21/2022,Closed Lost,Euro,Referral,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",55.91,2022-10-09T02:35:23Z,Rosa Bohea,Izio,89-332-8980
47,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,4/13/2022,Closed Lost,Franc,Referral,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,13.36,2022-04-04T12:58:10Z,Clarey Aimer,Zoombox,47-403-1511
48,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,8/4/2022,Closed Won,Rupiah,Referral,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",7.45,2022-01-29T12:40:11Z,Jo Habbon,Photobug,92-966-6568
49,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,11/9/2022,Closed Lost,Ruble,Referral,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",76.46,2022-11-27T12:59:10Z,Francois Sachno,Voolia,92-541-4280
50,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,1/9/2022,Closed Lost,Dinar,Web,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",65.21,2022-04-15T08:30:46Z,Elinor Killeley,Zoomcast,33-993-8680
51,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,11/28/2022,Closed Lost,Yuan Renminbi,Purchased List,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",53.82,2022-10-15T22:27:03Z,Estrellita MacFadzan,Muxo,10-731-7408
52,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,8/30/2022,Closed Won,Won,Web,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",40.59,2022-09-10T22:12:24Z,Carline Dye,Youtags,97-744-0847
53,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,5/23/2022,Closed Won,Yuan Renminbi,Web,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,52.57,2022-01-04T21:11:31Z,Audre Bourhill,Yodel,34-338-2300
54,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,11/13/2022,Closed Lost,Rupiah,Referral,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",94.23,2022-08-15T01:43:05Z,Julienne Braunes,Youbridge,46-931-0591
55,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,1/23/2022,Closed Won,Yuan Renminbi,Web,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",10.96,2022-03-03T05:11:59Z,Patience Cursey,Geba,14-674-8287
56,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse,2/6/2022,Closed Lost,Euro,Referral,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",31.32,2022-12-02T22:38:08Z,Bentley Viveash,Youfeed,76-733-9201
57,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,11/12/2022,Closed Lost,Peso,Partner,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",9.56,2022-12-07T07:43:33Z,Averil Malarkey,Aibox,92-880-0588
58,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum,2/13/2022,Closed Lost,Peso,Referral,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",57.38,2022-11-18T11:16:52Z,Esra Cessford,Edgeify,48-195-6682
